metric_id,metric_name,metric_value,create_date
658,basket_updates,123,2018-04-17 00:17:00.000
659,basket_creates,229,2018-04-17 00:17:00.000
660,order_creates,0,2018-04-17 00:18:00.000
661,session_count,568,2018-04-17 00:18:00.000
662,sys_wkld,12,2018-04-17 00:18:00.000
663,session_count,567,2018-04-17 00:21:00.000
664,sys_wkld,15,2018-04-17 00:21:00.000
665,sys_wkld,22,2018-04-17 00:22:00.000
666,order_creates,0,2018-04-17 00:09:00.000
667,session_count,496,2018-04-17 00:09:00.000
668,sys_wkld,11,2018-04-17 00:09:00.000
669,request_count,1482,2018-04-17 00:10:00.000
670,basket_updates,137,2018-04-17 00:14:00.000
671,basket_creates,100,2018-04-17 00:14:00.000
672,request_count,1738,2018-04-17 00:17:00.000
673,basket_updates,161,2018-04-17 00:18:00.000
674,basket_creates,193,2018-04-17 00:18:00.000
675,basket_updates,122,2018-04-17 00:19:00.000
676,basket_creates,187,2018-04-17 00:19:00.000
