payment_method_id,npayment_method_id,display_name
600019,DW_APPLE_PAY,Apple Pay
600020,DW_ANDROID_PAY,Android Pay
600021,PayPal,Pay Pal
600022,Ing,Ing
600023,Nordea_EBetalning,Nordea Sweden
600024,Nordea_EMaksu,Nordea Finland
600025,Sofurt,Sofort
600026,Unionpay,Unionpay
600027,iDEAL,iDEAL
600029,CREDIT_CARD,Credit Card
600030,BANK_TRANSFER,Bank Transfer
600031,BML,Bill Me Later
600032,DW_APPLE_PAY,Apple Pay
600033,DW_ANDROID_PAY,Android Pay
600034,PayPal,Pay Pal
600035,Ing,Ing
600036,Nordea_EBetalning,Nordea Sweden
600037,Nordea_EMaksu,Nordea Finland
600038,Sofurt,Sofort
600039,PayPal,PayPal
600040,HostedCreditCard,Hosted Credit Card
600041,Unionpay,Unionpay
600042,iDEAL,iDEAL
600043,Aktia,Aktia
600044,HostedCreditCard,Hosted Credit Card
600045,Aktia,Aktia
600047,GIFT_CERTIFICATE,Gift Certificate
600016,CREDIT_CARD,Credit Card
600046,HostedCreditCard,HostedCreditCard
600008,HostedCreditCard,Hosted Credit Card
600048,CREDIT_CARD,Credit Card
600049,BANK_TRANSFER,Bank Transfer
600050,BML,Bill Me Later
600051,DW_APPLE_PAY,Apple Pay
600052,DW_ANDROID_PAY,Android Pay
600053,PayPal,Pay Pal
600054,GIFT_CERTIFICATE,Gift Certificate
600055,CREDIT_CARD,Credit Card
600056,BANK_TRANSFER,Bank Transfer
600057,BML,Bill Me Later
600058,DW_APPLE_PAY,Apple Pay
600059,DW_ANDROID_PAY,Android Pay
600060,PayPal,Pay pal
1010001,PayPal,PayPal
600062,Ing,Ing
600063,Nordea_EBetalning,Nordea Sweden
600064,Nordea_EMaksu,Nordea Finland
600065,Sofurt,Sofort
600066,Unionpay,Unionpay
600067,iDEAL,iDEAL
600068,Aktia,Aktia
650002,CREDIT_CARD,Credit Card
600070,COD,Cash On Delivery
610001,GIFT_CERTIFICATE,Gift Certificate
610002,CREDIT_CARD,Credit Card
610003,BANK_TRANSFER,Bank Transfer
610004,BML,Bill Me Later
610005,DW_APPLE_PAY,Apple Pay
610006,DW_ANDROID_PAY,Android Pay
610007,PayPal,PayPal
650007,PayPal,PayPal
630001,HostedCreditCard,HostedCreditCard
600002,CREDIT_CARD,Credit Card
1450001,COD,Cash On Delivery
610008,COD,Cash On Delivery 
600061,HostedCreditCard,Hosted Credit Card
600071,PAYMENT_ON_PAYU,PayU
640001,GIFT_CERTIFICATE,Gift Certificate
