recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-17,302,Search,14,84,0,0,0,0,0.000000
2020-02-17,112,Real-Time-Recommendations-Add-to-Cart-Popup,16925,84610,1258,316,92,74,2771.470000
2020-02-17,109,product-to-product-AddToCart,32704,97618,1746,324,74,62,1997.890000
2020-02-17,121,Checkout-Real-Time,235,1410,11,2,1,1,30.630000
2020-02-17,302,PDP-Real-Time,4568,13704,202,33,3,3,62.860000
2020-02-17,121,Search-All-Categ,8,48,1,0,0,0,0.000000
2020-02-17,106,Checkout,314,1544,17,4,1,1,18.490000
2020-02-17,106,PDP-real-time,2313,6866,120,10,3,3,102.260000
2020-02-17,302,Checkout,666,3996,26,6,2,1,32.400000
2020-02-17,109,products-in-all-categories-Cart-Page,1526,15187,64,20,7,7,166.540000
2020-02-19,112,Cart-Page-All-Categories,966,4830,22,3,2,2,53.150000
2020-02-19,121,Checkout-Real-Time,235,1410,25,9,3,2,34.160000
2020-02-19,121,PDP-RealTime,1693,5079,94,6,1,1,10.830000
2020-02-19,106,Search,14,74,1,0,0,0,0.000000
2020-02-19,106,Checkout,435,2141,25,3,1,1,15.930000
2020-02-19,121,Search-All-Categ,12,72,0,0,0,0,0.000000
2020-02-19,109,product-to-product-PDP-Full-Predictive,23778,118648,1404,275,41,38,1181.330000
2020-02-19,109,product-to-product-AddToCart,52228,156253,2881,900,158,124,4226.480000
2020-02-19,302,PDP-Real-Time,4094,12282,154,22,6,5,149.560000
2020-02-19,309,Einstein-Cart-Page,132,660,2,0,0,0,0.000000
2020-02-19,302,Search,39,234,1,0,0,0,0.000000
2020-02-19,106,PDP-real-time,3064,9069,198,22,4,4,62.500000
2020-02-19,112,Real-Time-Recommendations-PDP,9483,94716,657,92,19,18,616.110000
2020-02-19,302,Checkout,588,3528,23,5,3,3,53.950000
2020-02-19,112,Real-Time-Recommendations-Add-to-Cart-Popup,16797,83977,1247,333,77,67,2340.180000
2020-02-19,109,products-in-all-categories-Cart-Page,4268,42470,191,46,11,9,253.790000
2020-02-14,106,Checkout,422,2046,31,9,2,2,44.860000
2020-02-14,109,product-to-product-PDP-Full-Predictive,15293,76238,891,153,18,16,562.390000
2020-02-18,109,products-in-all-categories-Cart-Page,1682,16708,74,14,3,3,77.730000
2020-02-18,109,product-to-product-AddToCart,33407,99777,1759,371,72,59,1913.360000
2020-02-18,309,Einstein-Cart-Page,90,450,0,0,0,0,0.000000
2020-02-18,106,Search,17,94,2,2,0,0,0.000000
2020-02-18,302,Checkout,696,4176,23,5,4,2,65.870000
2020-02-18,302,PDP-Real-Time,4944,14832,302,42,6,6,134.910000
2020-02-18,121,Search-All-Categ,8,48,0,0,0,0,0.000000
2020-02-18,121,Checkout-Real-Time,206,1236,12,0,0,0,0.000000
2020-02-18,109,product-to-product-PDP-Full-Predictive,16609,82749,955,129,21,18,629.750000
