request_date,site_id,api_resource,api_name,api_version,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11,api_family
2024-01-29 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4318,2235990,2140,2100,65,9,2,1,0,1,0,0,0,
2024-02-03 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4293,2272360,2101,2071,98,17,3,2,0,0,0,0,1,
2024-01-31 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4311,2302920,2075,2132,82,17,5,0,0,0,0,0,0,
2024-02-16 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4312,2359747,2078,2106,98,22,7,0,0,0,0,0,1,
2024-02-14 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10005,0,0,0,0,0,0,0,0,0,0,1,
2024-02-06 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4289,2333228,2066,2086,111,21,4,0,0,0,0,0,1,
2024-02-09 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4283,2316487,2058,2096,108,20,1,0,0,0,0,0,0,
2024-02-11 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4305,2286903,2087,2119,79,13,6,0,1,0,0,0,0,
2024-02-13 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4303,2371172,2052,2101,121,21,6,0,1,0,0,0,1,
2024-02-15 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,3799,2096064,1802,1875,106,12,4,0,0,0,0,0,0,
2024-02-16 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9007,0,0,0,0,0,0,0,0,0,0,1,
2024-02-12 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4328,2385871,2071,2080,147,24,2,1,1,0,2,0,0,
2024-02-14 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4308,2319309,2089,2098,101,18,2,0,0,0,0,0,0,
2024-02-19 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4318,2246703,2099,2157,44,12,2,0,1,0,1,0,2,
2025-06-24 00:00:00.000,-1,/ping,echo,v1,200,GET,4362,2584766,2063,1885,295,102,13,2,0,1,0,0,1,samples
2024-02-17 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4321,2283419,2091,2140,61,24,3,2,0,0,0,0,0,
2024-02-18 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,10007,0,0,0,0,0,0,0,0,0,0,1,
2024-02-18 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4331,2291046,2079,2136,98,16,2,0,0,0,0,0,0,
2025-06-22 00:00:00.000,-1,/ping,echo,v1,200,GET,4343,2412249,2236,1752,262,84,7,2,0,0,0,0,0,samples
2024-02-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4310,2146709,2140,2143,26,0,0,1,0,0,0,0,0,
2024-02-20 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4329,2138037,2160,2144,23,1,0,1,0,0,0,0,0,
2024-02-23 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4303,2152790,2144,2110,48,1,0,0,0,0,0,0,0,
2024-03-05 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4328,2182754,2148,2152,27,0,1,0,0,0,0,0,0,
2024-02-29 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4315,2214271,2126,2120,63,4,1,1,0,0,0,0,0,
2024-03-08 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4309,2126794,2151,2123,34,1,0,0,0,0,0,0,0,
